# y+ ()      
# Time       	patch        	min          	max          	average      
0            	movingWall	8.385255e+00	8.385255e+00	8.385255e+00
0            	fixedWalls	8.385255e+00	8.385255e+00	8.385255e+00
0.5          	movingWall	4.579219e+00	6.404681e+00	5.996387e+00
0.5          	fixedWalls	3.953064e+00	5.363313e+00	4.438062e+00
1            	movingWall	2.946606e+00	6.751569e+00	5.518279e+00
1            	fixedWalls	1.944217e+00	6.286235e+00	3.205280e+00
1.5          	movingWall	2.191904e+00	5.939081e+00	4.779378e+00
1.5          	fixedWalls	1.004810e+00	5.778911e+00	2.719998e+00
2            	movingWall	1.774634e+00	5.350187e+00	4.254420e+00
2            	fixedWalls	5.679040e-01	5.252553e+00	2.460787e+00
2.5          	movingWall	1.495067e+00	4.880458e+00	3.843460e+00
2.5          	fixedWalls	3.603548e-01	4.845642e+00	2.471078e+00
3            	movingWall	1.282857e+00	4.484201e+00	3.505161e+00
3            	fixedWalls	2.671881e-01	4.532776e+00	2.454916e+00
3.5          	movingWall	1.118525e+00	4.137751e+00	3.211877e+00
3.5          	fixedWalls	2.213394e-01	4.289104e+00	2.415232e+00
4            	movingWall	1.028517e+00	3.796065e+00	2.940160e+00
4            	fixedWalls	1.935000e-01	4.105808e+00	2.395086e+00
4.5          	movingWall	1.038312e+00	3.541644e+00	2.791329e+00
4.5          	fixedWalls	2.055196e-01	3.977582e+00	2.390100e+00
5            	movingWall	1.026458e+00	3.425259e+00	2.702691e+00
5            	fixedWalls	2.340316e-01	3.956836e+00	2.412936e+00
5.5          	movingWall	1.007503e+00	3.320188e+00	2.622004e+00
5.5          	fixedWalls	2.535666e-01	3.928506e+00	2.451305e+00
6            	movingWall	1.008960e+00	3.200421e+00	2.564391e+00
6            	fixedWalls	2.660869e-01	3.862252e+00	2.483120e+00
6.5          	movingWall	1.035333e+00	3.125494e+00	2.560355e+00
6.5          	fixedWalls	2.852220e-01	3.797647e+00	2.505284e+00
7            	movingWall	1.067624e+00	3.127530e+00	2.593468e+00
7            	fixedWalls	3.100828e-01	3.797645e+00	2.526726e+00
7.5          	movingWall	1.089642e+00	3.140978e+00	2.613114e+00
7.5          	fixedWalls	3.282993e-01	3.835241e+00	2.556975e+00
8            	movingWall	1.100829e+00	3.120910e+00	2.611506e+00
8            	fixedWalls	3.410821e-01	3.846464e+00	2.587275e+00
8.5          	movingWall	1.114443e+00	3.102148e+00	2.620258e+00
8.5          	fixedWalls	3.552929e-01	3.833539e+00	2.609851e+00
9            	movingWall	1.133680e+00	3.118212e+00	2.647872e+00
9            	fixedWalls	3.711914e-01	3.843834e+00	2.630899e+00
9.5          	movingWall	1.151874e+00	3.139754e+00	2.672700e+00
9.5          	fixedWalls	3.848984e-01	3.875340e+00	2.654723e+00
10           	movingWall	1.165174e+00	3.148592e+00	2.687160e+00
10           	fixedWalls	3.952955e-01	3.895786e+00	2.677684e+00
